morp,morp_desen,behaviour,o3site,icd10,comments
8550/2/1,Acinar cell carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8550/3/1,Acinar cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8551/3/1,Acinar cell cystadenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8552/3/1,Mixed acinar-ductal carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8560/2/1,Squamous cell carcinoma in situ and glandular papilloma,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8560/3/1,Adenosquamous carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8561/3/1,"Warthin tumor, malignant (C07_, C08_)",Malignant,"C079, C089, All Other Sites","C07, C08.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8562/2/1,Epithelial-myoepithelial carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8562/3/1,Epithelial-myoepithelial carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8570/2/1,Adenocarcinoma in situ with squamous metaplasia,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8570/3/1,Adenocarcinoma with squamous metaplasia,Malignant,Specific Sites,See Topo Table B Col B,
8571/3/1,Adenocarcinoma with cartilaginous and osseous metaplasia,Malignant,Specific Sites,See Topo Table B Col B,
8572/3/1,Adenocarcinoma with spindle cell metaplasia,Malignant,Specific Sites,See Topo Table B Col B,
8573/2/1,Adenocarcinoma in situ with apocrine metaplasia,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8573/3/1,Adenocarcinoma with apocrine metaplasia,Malignant,Specific Sites,See Topo Table B Col B,
8574/2/1,Adenocarcinoma in situ with neuroendocrine differentiation,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8574/3/1,Adenocarcinoma with neuroendocrine differentiation,Malignant,Specific Sites,See Topo Table B Col B,
8575/3/1,"Metaplastic carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8576/3/1,Hepatoid adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8580/1/1,"Thymoma, NOS (C379) (ICD-O-3.2 update, see code 8580/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8580/2/1,"Thymoma, in situ, NOS (C379)",In-Situ,"C379, All Other Sites","D09.3, See Topo Table B Col D",
8580/3/1,"Thymoma, NOS (C379)  (ICD-O-3.2 update, previously 8580/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8581/1/1,"Thymoma, type A, NOS (C379) (ICD-O-3.2 update, see code 8581/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8581/3/1,"Thymoma, type A (C379) (ICD-O-3.2 update, previously 8581/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8582/1/1,"Thymoma, type AB, NOS (C379) (ICD-O-3.2 update, see code 8582/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8582/3/1,"Thymoma, type AB (C379) (ICD-O-3.2 update, previously 8582/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8583/1/1,"Thymoma, type B1, NOS (C379) (ICD-O-3.2 update, see code 8583/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8583/3/1,"Thymoma, type B1 (C379) (ICD-O-3.2 update, previously 8585/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8584/1/1,"Thymoma, type B2, NOS (C379) (ICD-O-3.2 update, see code 8584/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8584/3/1,"Thymoma, type B2 (C379) (ICD-O-3.2 update, previously 8584/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8585/1/1,"Thymoma, type B3, NOS (C379) (ICD-O-3.2 update, see code 8585/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8585/3/1,"Thymoma, type B3 (C379) (ICD-O-3.2, previously 8585/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8586/3/1,"Thymic carcinoma, NOS (C379)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8588/3/1,Spindle epithelial tumor with thymus-like element (C379),Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8589/3/1,Intrathyroid thymic carcinoma (C379),Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8590/1/1,"Sex cord-gonadal stromal tumor, NOS (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8590/3/1,"Sex cord-gonadal stromal tumor, malignant, NOS (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",Not listed in ICD-O-3.2
8591/1/1,"Sex cord-gonadal stromal tumor, incompletely differentiated (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8591/1/1,"Sex cord-gonadal stromal tumor, incompletely differentiated",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8592/1/1,"Sex cord-gonadal stromal tumor, mixed forms (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8593/1/1,Stromal tumor with minor sex cord elements (C569),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8593/3/1,"Malignant stromal tumor, with sex cord elements (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8594/1/1,"Mixed germal cell-sex cord-stromal tumor, NOS (ICD-O-3.2 update) (C569 [F], C62_[M])",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8600/3/1,"Thecoma, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8602/3/1,"Sclerosing stromal tumor, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8620/1/1,"Adult granulosa cell tumor of testis (C62-) (ICD-O-3.2 update, see 8620/3)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8620/3/1,"Adult granulosa tumor of ovary (C569) (ICD-O-3.2 update, previously 8620/1)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8621/1/1,Granulosa cell-theca cell tumor  (C569),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8621/3/1,"Granulosa cell-theca cell tumor, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8622/1/1,"Granulosa cell tumor,  juvenile (C569)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8622/3/1,"Juvenile granulosa cell tumor, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8623/1/1,Sex cord tumor with annular tubules (C569),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8623/3/1,"Sex cord tumor with annular tubules, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8630/1/1,"Androblastoma, NOS (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8630/3/1,"Androblastoma, malignant (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",
8631/1/1,"Sertoli-Leydig cell tumor of intermediate differentiation (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8631/3/1,"Sertoli-Leydig cell tumor, poorly differentiated (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",
8632/1/1,Gynandroblastoma (C569 ),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8632/3/1,"Gynandroblastoma, malignant (C569 )",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8633/1/1,"Sertoli-Leydig cell tumor, retiform (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8633/3/1,"Sertoli-Leydig cell tumor, retiform, malignant (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",Not listed in ICD-O-3.2
8634/1/1,"Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8634/3/1,"Sertoli-Leydig cell tumor, poorly differentiated with heterologous elements (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",
8640/1/1,"Sertoli cell tumor, NOS (C569 [F], C62_[M])",Borderline,"C569 [F], C619 [M], All Other Sites","D39.1 [F], D40.0 [M], See Topo Table B Col F",
8640/3/1,"Sertoli cell carcinoma  (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",
8642/1/1,"Large cell calcifying Sertoli cell tumor  (C569 [F], C62_[M])",Borderline,"C569 [F], C619 [M], All Other Sites","D39.1 [F], D40.0 [M], See Topo Table B Col F",
8642/3/1,"Large cell calcifying Sertoli cell tumor, malignant  (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",Not listed in ICD-O-3.2
8643/1/1,Intratulbar large cell hyalinizing Sertoli cell neoplasia (ICD-O-3.2 update),Borderline,Specific Sites,See Topo Table B Col F,New code 2021+
8650/1/1,"Leydig cell tumor of testis, NOS (C629) (ICD-O-3.2 update)",Borderline,"C629, All Other Sites","D40.0, See Topo Table B Col F",
8650/3/1,"Leydig cell tumor, malignant (C62_)",Malignant,"C629, All Other Sites","C62.9, See Topo Table B Col B",
8670/3/1,"Steroid cell tumor, malignant (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8680/1/1,"Paraganglioma, NOS (C755) (ICD-O-3.2 update, see code 8680/3) (C755)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8680/3/1,"Paraganglioma, NOS (C755) (ICD-O-3.2 update, previously 8680/0, 8680/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8681/1/1,"Sympathetic paraganglioma (C755) (ICD-O-3.2 update, see code 8681/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8681/3/1,"Sympathetic paraganglioma (C755) (ICD-O-3.2 update, previously 8681/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8682/1/1,"Parasympathetic paraganglioma (C755) (ICD-O-3.2 update, see code 8682/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8682/3/1,"Parasympathetic paraganglioma (C755) (ICD-O-3.2 update, previously 8682/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8683/3/1,"Gangliocytic paraganglioma, malignant (C170)",Malignant,"C170, All Other Sites",See Topo Table B Col B,Not listed in ICD-O-3.2
8690/1/1,"Glomus jugulare tumor, NOS (C755) (ICD-O-3.2 update, see code 8690/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8690/3/1,"Middle ear paraganglioma (C755) (ICD-O-3.2 update, previously 8690/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8691/1/1,"Aortic body tumor (C755) (ICD-O-3.2 update, see code 8691/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8691/3/1,"Aortic body tumor (C755) ICD-O-3.2 update, previously 8691/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8692/1/1,"Carotid body tumor (C754) (ICD-O-3.2 update, see code 8692/3)",Borderline,"C754, All Other Sites","D44.6, See Topo Table B Col F",
8692/3/1,"Carotid body paraganglioma (C754) (ICD-O-3.2 update, previously 8692/1)",Malignant,"C754, All Other Sites","C75.4, See Topo Table B Col B",
8693/1/1,"Extra-adrenal paraganglioma, NOS (C755) (ICD-O-3.2 update, see code 8693/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8693/3/1,"Extra-adrenal paraganglioma, NOS (C755) (ICD-O-3.2 update, previously 8693/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8700/3/1,"Pheochromocytoma, NOS (C741) (ICD-O-3.2 update, previously 8700/0)",Malignant,"C741, All Other Sites","C74.1, See Topo Table B Col B",
8710/3/1,Glomangiosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8711/1/1,Glomangiomatosis (ICD-O-3.2 update),Borderline,Specific Sites,See Topo Table B Col F,
8711/3/1,"Glomus tumor, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8712/3/1,"Glomangioma, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8713/3/1,"Glomangiomyoma, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8714/3/1,"Perivascular, epithelioid tumor, malignant (ICD-O-3.2 update)",Malignant,Specific Sites,See Topo Table B Col B,
8720/2/1,Melanoma in situ (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",
8720/3/1,"Malignant melanoma, NOS (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8721/2/1,"Nodular melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8721/3/1,Nodular melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8722/2/1,"Balloon cell melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8722/3/1,Balloon cell melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8723/2/1,"Melanoma in situ, regressing (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8723/3/1,"Malignant melanoma, regressing (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8726/3/1,Malignant melanoma in magnocellular nevus (C694),Malignant,"C694, All Other Sites","C69.4, See Topo Table B Col B",Not listed in ICD-O-3.2
8727/3/1,"Dysplastic nevus, malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",Not listed in ICD-O-3.2
8728/1/1,Meningeal melanocytoma (C70_),Borderline,"C709, All Other Sites","D42.9, See Topo Table B Col F",
8728/3/1,Meningeal melanomastosis (C70_),Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",
8730/2/1,Melanoma in situ in junctional nevus (C44_),In-Situ,,"D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8730/3/1,Amelanotic melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8740/2/1,Melanoma in situ in junctional nevus (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8740/3/1,Malignant melanoma in junctional nevus (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8741/2/1,"Precancerous melanosis, NOS (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",
8741/3/1,Malignant melanoma in precancerous melanosis (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8742/2/1,Lentigo maligna (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",
8742/3/1,Lentigo maligna melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8743/2/1,"Low cumulative sun damage melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8743/3/1,Low cumulative sun damage melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8744/2/1,"Acral lentiginous melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8744/3/1,"Acral lentiginous melanoma, in malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8745/2/1,"Desmoplastic melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8745/3/1,"Desmoplastic melanoma, malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8746/2/1,Mucosal lentiginous melanoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8746/3/1,Mucosal lentiginous melanoma,Malignant,Specific Sites,See Topo Table B Col B,
8760/2/1,Melanoma in situ in compound nevus (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8761/1/1,"Giant pigmented nevus, NOS (C44_)",Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8761/2/1,Melanoma in situ in giant pigmented nevus (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8761/3/1,Malignant melanoma in giant congenital nevus (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8762/1/1,Proliferative dermal lesion in congenital nevus (C44_),Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8770/2/1,Epithelioid and spindle cell melanoma in situ (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8770/3/1,Malignant Spitz tumor (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8771/2/1,Epithelioid cell melanoma in situ (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8771/3/1,Epithelioid cell melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8772/2/1,"Spindle cell melanoma in situ, NOS (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8772/3/1,"Spindle cell melanoma, NOS  (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8773/3/1,"Spindle cell melanoma, type A (C69_)",Malignant,"C699, All Other Sites","C69.9, See Topo Table B Col B",
8774/3/1,"Spindle cell melanoma, type B (C69_)",Malignant,"C699, All Other Sites","C69.9, See Topo Table B Col B",
8780/1/1,Pigmented epithelioid melanocytoma (C44_) (ICD-O-3.2 update),Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",New code 2021+
8780/3/1,"Blue nevus, malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8790/3/1,"Cellular blue nevus, malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8800/3/1,"Sarcoma, NOS  (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8800/9/1,Sarcomatosis (C809),Unknown,C809,C80,Not a code used in the registry
8801/3/1,Spindle cell sarcoma  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8802/1/1,Pleomorphic hyalinizing angiectatic tumor (C49_) (ICD-O-3.2 update),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",New code 2021+
8802/3/1,Giant cell sarcoma  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8803/3/1,Small cell sarcoma  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8804/3/1,Epithelioid sarcoma  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8805/3/1,Undifferentiated sarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8806/3/1,Desmoplastic small round cell tumor  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8810/1/1,Cellular fibroma (C569),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8810/3/1,"Fibrosarcoma, NOS (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8811/1/1,Myxoinflammatory fibroblastic sarcoma (C49_) (ICD-O-3.2 update),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8811/3/1,Myxofibrosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8812/3/1,"Periosteal fibrosarcoma (C40_,C41_)",Malignant,"C409, C419, All Other Sites","C40.9, C41.9, See Topo Table B Col B",
8813/1/1,Palmar/plantar type fibromatosis (C49_) (ICD-O-3.2 update),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8813/3/1,Fascial fibrosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8814/3/1,Infantile fibrosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8815/1/1,"Solitary fibrous tumor, NOS (C49_) (ICD-O-3.2 update, previously 8815/0, 9150/0, 9150/1)",Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8815/3/1,"Solitary fibrous tumor, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8821/1/1,Aggressive fibromatosis  (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8821/3/1,"Aggressive fibromatosis, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8822/1/1,Abdominal fibromatosis (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8822/3/1,"Abdominal fibrosis, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8823/1/1,Desmoplastic fibroma (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8823/3/1,Desmoplastic fibrosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8824/1/1,Myofibromatosis (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8824/3/1,"Myofibroma, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8825/1/1,"Myofibroblastic tumor, NOS (C49_)",Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8825/3/1,Myofibroblastic sarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8826/3/1,"Angiomyofibroblastoma, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8827/1/1,"Myofibroblastic tumor, peribronchial (C34_)",Borderline,"C349, All Other Sites","D38.1, See Topo Table B Col F",
8830/1/1,Atypical fibrous histiocytoma (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8830/3/1,Malignant fibrous histiocytoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8831/3/1,"Histiocytoma, NOS, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8832/1/1,"Dermatofibrosarcoma protuberans, NOS (C44_) (ICD-O-3.2 update, previously 8832/3)",Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8832/3/1,"Dermatofibrosarcoma, NOS (C44_) (ICD-O-3.2 update, see 8832/1)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8833/1/1,"Pigmented dermatofibrosarcoma protuberans (C44_) (ICD-O-3.2 update, previously 8833/3)",Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8833/3/1,"Pigmented dermatofibrosarcoma protuberans (C44_) (ICD-O-3.2 update, see code 8833/1)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8834/1/1,Giant cell fibroblastoma,Borderline,Specific Sites,See Topo Table B Col F,
8835/1/1,Plexiform fibrohistiocytic tumor,Borderline,Specific Sites,See Topo Table B Col F,
8835/3/1,Malignant plexiform fibrohistiocytic tumor,Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8836/1/1,Angiomatoid fibrous histiocytoma,Borderline,Specific Sites,See Topo Table B Col F,
8836/3/1,Malignant angiomatoid fibrous histiocytoma,Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8840/3/1,Myxosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8841/1/1,"Angiomyxoma (C49_) (ICD-O-3.2 update, see code 8841/0)",Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8841/3/1,"Angiomyxoma, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8842/3/1,"Ossifying fibromyxoid tumor, malignant",Malignant,Specific Sites,See Topo Table B Col B,
8850/1/1,Atypical lipomatous tumor (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8850/3/1,"Liposarcoma, NOS (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8851/1/1,Lipofibromatosis (ICD-O-3.2 update) (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",New code 2021+
8851/3/1,"Liposarcoma, well differentiated (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8852/3/1,Myxoid liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8853/3/1,Round cell liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8854/3/1,Pleomorphic liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8855/3/1,Mixed liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8857/3/1,Fibroblastic liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8858/3/1,Dedifferentiated liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8859/3/1,Myxoid pleomorphic liposarcoma (C49) (2022 update),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",New code 2022+
8860/1/1,"Angiomyolipoma, epithelioid (C49)",Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8860/3/1,Angiomyoliposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8890/1/1,"Leiomyomastosis, NOS (C54_)",Borderline,"C549, All Other Sites","D39.0, See Topo Table B Col F",
8890/3/1,"Leiomyosarcoma, NOS (C54_)",Malignant,"C549, All Other Sites","C54.9, See Topo Table B Col B",
8891/3/1,Epithelioid leiomyosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8893/3/1,"Bizarre leiomyoma, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8894/3/1,Angiomyosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8895/3/1,Myosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8896/3/1,Myxoid leiomyosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8897/1/1,Smooth muscle tumor of uncertain malignant potential (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
