morp,morp-description,behaviour,o3site,icd10,Comments
8574/3,Adenocarcinoma with neuroendocrine differentiation,Malignant,Specific Sites,See Topo Table B Col B,
8575/3,"Metaplastic carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8576/3,Hepatoid adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8580/1,"Thymoma, NOS (C379) (ICD-O-3.2 update, see code 8580/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8580/2,"Thymoma, in situ, NOS (C379)",In-Situ,"C379, All Other Sites","D09.3, See Topo Table B Col D",
8580/3,"Thymoma, NOS (C379)  (ICD-O-3.2 update, previously 8580/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8581/1,"Thymoma, type A, NOS (C379) (ICD-O-3.2 update, see code 8581/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8581/3,"Thymoma, type A (C379) (ICD-O-3.2 update, previously 8581/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8582/1,"Thymoma, type AB, NOS (C379) (ICD-O-3.2 update, see code 8582/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8582/3,"Thymoma, type AB (C379) (ICD-O-3.2 update, previously 8582/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8583/1,"Thymoma, type B1, NOS (C379) (ICD-O-3.2 update, see code 8583/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8583/3,"Thymoma, type B1 (C379) (ICD-O-3.2 update, previously 8585/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8584/1,"Thymoma, type B2, NOS (C379) (ICD-O-3.2 update, see code 8584/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8584/3,"Thymoma, type B2 (C379) (ICD-O-3.2 update, previously 8584/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8585/1,"Thymoma, type B3, NOS (C379) (ICD-O-3.2 update, see code 8585/3)",Borderline,"C379, All Other Sites","D38.4, See Topo Table B Col F",
8585/3,"Thymoma, type B3 (C379) (ICD-O-3.2, previously 8585/1)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8586/3,"Thymic carcinoma, NOS (C379)",Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8588/3,Spindle epithelial tumor with thymus-like element (C379),Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8589/3,Intrathyroid thymic carcinoma (C379),Malignant,"C379, All Other Sites","C37, See Topo Table B Col B",
8590/1,"Sex cord-gonadal stromal tumor, NOS (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8590/3,"Sex cord-gonadal stromal tumor, malignant, NOS (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",Not listed in ICD-O-3.2
8591/1,"Sex cord-gonadal stromal tumor, incompletely differentiated (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8591/1,"Sex cord-gonadal stromal tumor, incompletely differentiated",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8592/1,"Sex cord-gonadal stromal tumor, mixed forms (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8593/1,Stromal tumor with minor sex cord elements (C569),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8593/3,"Malignant stromal tumor, with sex cord elements (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8594/1,"Mixed germal cell-sex cord-stromal tumor, NOS (ICD-O-3.2 update) (C569 [F], C62_[M])",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8600/3,"Thecoma, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8602/3,"Sclerosing stromal tumor, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8620/1,"Adult granulosa cell tumor of testis (C62-) (ICD-O-3.2 update, see 8620/3)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8620/3,"Adult granulosa tumor of ovary (C569) (ICD-O-3.2 update, previously 8620/1)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8621/1,Granulosa cell-theca cell tumor  (C569),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8621/3,"Granulosa cell-theca cell tumor, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8622/1,"Granulosa cell tumor,  juvenile (C569)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8622/3,"Juvenile granulosa cell tumor, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8623/1,Sex cord tumor with annular tubules (C569),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8623/3,"Sex cord tumor with annular tubules, malignant  (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8630/1,"Androblastoma, NOS (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8630/3,"Androblastoma, malignant (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",
8631/1,"Sertoli-Leydig cell tumor of intermediate differentiation (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8631/3,"Sertoli-Leydig cell tumor, poorly differentiated (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",
8632/1,Gynandroblastoma (C569 ),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8632/3,"Gynandroblastoma, malignant (C569 )",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8633/1,"Sertoli-Leydig cell tumor, retiform (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8633/3,"Sertoli-Leydig cell tumor, retiform, malignant (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",Not listed in ICD-O-3.2
8634/1,"Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements (C569 [F], C62_[M])",Borderline,"C569 [F], C629 [M], All Other Sites","D39.1 [F], D40.1 [M], See Topo Table B Col F",
8634/3,"Sertoli-Leydig cell tumor, poorly differentiated with heterologous elements (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",
8640/1,"Sertoli cell tumor, NOS (C569 [F], C62_[M])",Borderline,"C569 [F], C619 [M], All Other Sites","D39.1 [F], D40.0 [M], See Topo Table B Col F",
8640/3,"Sertoli cell carcinoma  (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",
8642/1,"Large cell calcifying Sertoli cell tumor  (C569 [F], C62_[M])",Borderline,"C569 [F], C619 [M], All Other Sites","D39.1 [F], D40.0 [M], See Topo Table B Col F",
8642/3,"Large cell calcifying Sertoli cell tumor, malignant  (C569 [F], C62_[M])",Malignant,"C569 [F], C629 [M], All Other Sites","C56 [F], C62.9 [M], See Topo Table B Col B",Not listed in ICD-O-3.2
8643/1,Intratulbar large cell hyalinizing Sertoli cell neoplasia (ICD-O-3.2 update),Borderline,Specific Sites,See Topo Table B Col F,New code 2021+
8650/1,"Leydig cell tumor of testis, NOS (C629) (ICD-O-3.2 update)",Borderline,"C629, All Other Sites","D40.0, See Topo Table B Col F",
8650/3,"Leydig cell tumor, malignant (C62_)",Malignant,"C629, All Other Sites","C62.9, See Topo Table B Col B",
8670/3,"Steroid cell tumor, malignant (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8680/1,"Paraganglioma, NOS (C755) (ICD-O-3.2 update, see code 8680/3) (C755)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8680/3,"Paraganglioma, NOS (C755) (ICD-O-3.2 update, previously 8680/0, 8680/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8681/1,"Sympathetic paraganglioma (C755) (ICD-O-3.2 update, see code 8681/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8681/3,"Sympathetic paraganglioma (C755) (ICD-O-3.2 update, previously 8681/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8682/1,"Parasympathetic paraganglioma (C755) (ICD-O-3.2 update, see code 8682/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8682/3,"Parasympathetic paraganglioma (C755) (ICD-O-3.2 update, previously 8682/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8683/3,"Gangliocytic paraganglioma, malignant (C170)",Malignant,"C170, All Other Sites",See Topo Table B Col B,Not listed in ICD-O-3.2
8690/1,"Glomus jugulare tumor, NOS (C755) (ICD-O-3.2 update, see code 8690/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8690/3,"Middle ear paraganglioma (C755) (ICD-O-3.2 update, previously 8690/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8691/1,"Aortic body tumor (C755) (ICD-O-3.2 update, see code 8691/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8691/3,"Aortic body tumor (C755) ICD-O-3.2 update, previously 8691/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8692/1,"Carotid body tumor (C754) (ICD-O-3.2 update, see code 8692/3)",Borderline,"C754, All Other Sites","D44.6, See Topo Table B Col F",
8692/3,"Carotid body paraganglioma (C754) (ICD-O-3.2 update, previously 8692/1)",Malignant,"C754, All Other Sites","C75.4, See Topo Table B Col B",
8693/1,"Extra-adrenal paraganglioma, NOS (C755) (ICD-O-3.2 update, see code 8693/3)",Borderline,"C755, All Other Sites","D44.7, See Topo Table B Col F",
8693/3,"Extra-adrenal paraganglioma, NOS (C755) (ICD-O-3.2 update, previously 8693/1)",Malignant,"C755, All Other Sites","C75.5, See Topo Table B Col B",
8700/3,"Pheochromocytoma, NOS (C741) (ICD-O-3.2 update, previously 8700/0)",Malignant,"C741, All Other Sites","C74.1, See Topo Table B Col B",
8710/3,Glomangiosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8711/1,Glomangiomatosis (ICD-O-3.2 update),Borderline,Specific Sites,See Topo Table B Col F,
8711/3,"Glomus tumor, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8712/3,"Glomangioma, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8713/3,"Glomangiomyoma, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8714/3,"Perivascular, epithelioid tumor, malignant (ICD-O-3.2 update)",Malignant,Specific Sites,See Topo Table B Col B,
8720/2,Melanoma in situ (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",
8720/3,"Malignant melanoma, NOS (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8721/2,"Nodular melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8721/3,Nodular melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8722/2,"Balloon cell melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8722/3,Balloon cell melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8723/2,"Melanoma in situ, regressing (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8723/3,"Malignant melanoma, regressing (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8726/3,Malignant melanoma in magnocellular nevus (C694),Malignant,"C694, All Other Sites","C69.4, See Topo Table B Col B",Not listed in ICD-O-3.2
8727/3,"Dysplastic nevus, malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",Not listed in ICD-O-3.2
8728/1,Meningeal melanocytoma (C70_),Borderline,"C709, All Other Sites","D42.9, See Topo Table B Col F",
8728/3,Meningeal melanomastosis (C70_),Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",
8730/2,Melanoma in situ in junctional nevus (C44_),In-Situ,,"D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8730/3,Amelanotic melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8740/2,Melanoma in situ in junctional nevus (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8740/3,Malignant melanoma in junctional nevus (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8741/2,"Precancerous melanosis, NOS (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",
8741/3,Malignant melanoma in precancerous melanosis (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8742/2,Lentigo maligna (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",
8742/3,Lentigo maligna melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8743/2,"Low cumulative sun damage melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8743/3,Low cumulative sun damage melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8744/2,"Acral lentiginous melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8744/3,"Acral lentiginous melanoma, in malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8745/2,"Desmoplastic melanoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8745/3,"Desmoplastic melanoma, malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8746/2,Mucosal lentiginous melanoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8746/3,Mucosal lentiginous melanoma,Malignant,Specific Sites,See Topo Table B Col B,
8760/2,Melanoma in situ in compound nevus (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8761/1,"Giant pigmented nevus, NOS (C44_)",Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8761/2,Melanoma in situ in giant pigmented nevus (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8761/3,Malignant melanoma in giant congenital nevus (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8762/1,Proliferative dermal lesion in congenital nevus (C44_),Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8770/2,Epithelioid and spindle cell melanoma in situ (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8770/3,Malignant Spitz tumor (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8771/2,Epithelioid cell melanoma in situ (C44_),In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8771/3,Epithelioid cell melanoma (C44_),Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8772/2,"Spindle cell melanoma in situ, NOS (C44_)",In-Situ,"C449, All Other Sites","D03.9, See Topo Table B Col I",Not listed in ICD-O-3.2
8772/3,"Spindle cell melanoma, NOS  (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8773/3,"Spindle cell melanoma, type A (C69_)",Malignant,"C699, All Other Sites","C69.9, See Topo Table B Col B",
8774/3,"Spindle cell melanoma, type B (C69_)",Malignant,"C699, All Other Sites","C69.9, See Topo Table B Col B",
8780/1,Pigmented epithelioid melanocytoma (C44_) (ICD-O-3.2 update),Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",New code 2021+
8780/3,"Blue nevus, malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8790/3,"Cellular blue nevus, malignant (C44_)",Malignant,"C449, All Other Sites","C43.9, See Topo Table B Col H",
8800/3,"Sarcoma, NOS  (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8800/9,Sarcomatosis (C809),Unknown,C809,C80,Not a code used in the registry
8801/3,Spindle cell sarcoma  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8802/1,Pleomorphic hyalinizing angiectatic tumor (C49_) (ICD-O-3.2 update),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",New code 2021+
8802/3,Giant cell sarcoma  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8803/3,Small cell sarcoma  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8804/3,Epithelioid sarcoma  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8805/3,Undifferentiated sarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8806/3,Desmoplastic small round cell tumor  (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8810/1,Cellular fibroma (C569),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8810/3,"Fibrosarcoma, NOS (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8811/1,Myxoinflammatory fibroblastic sarcoma (C49_) (ICD-O-3.2 update),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8811/3,Myxofibrosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8812/3,"Periosteal fibrosarcoma (C40_,C41_)",Malignant,"C409, C419, All Other Sites","C40.9, C41.9, See Topo Table B Col B",
8813/1,Palmar/plantar type fibromatosis (C49_) (ICD-O-3.2 update),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8813/3,Fascial fibrosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8814/3,Infantile fibrosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8815/1,"Solitary fibrous tumor, NOS (C49_) (ICD-O-3.2 update, previously 8815/0, 9150/0, 9150/1)",Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8815/3,"Solitary fibrous tumor, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8821/1,Aggressive fibromatosis  (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8821/3,"Aggressive fibromatosis, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8822/1,Abdominal fibromatosis (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8822/3,"Abdominal fibrosis, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8823/1,Desmoplastic fibroma (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8823/3,Desmoplastic fibrosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8824/1,Myofibromatosis (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8824/3,"Myofibroma, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8825/1,"Myofibroblastic tumor, NOS (C49_)",Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8825/3,Myofibroblastic sarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8826/3,"Angiomyofibroblastoma, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8827/1,"Myofibroblastic tumor, peribronchial (C34_)",Borderline,"C349, All Other Sites","D38.1, See Topo Table B Col F",
8830/1,Atypical fibrous histiocytoma (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8830/3,Malignant fibrous histiocytoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8831/3,"Histiocytoma, NOS, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8832/1,"Dermatofibrosarcoma protuberans, NOS (C44_) (ICD-O-3.2 update, previously 8832/3)",Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8832/3,"Dermatofibrosarcoma, NOS (C44_) (ICD-O-3.2 update, see 8832/1)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8833/1,"Pigmented dermatofibrosarcoma protuberans (C44_) (ICD-O-3.2 update, previously 8833/3)",Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8833/3,"Pigmented dermatofibrosarcoma protuberans (C44_) (ICD-O-3.2 update, see code 8833/1)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8834/1,Giant cell fibroblastoma,Borderline,Specific Sites,See Topo Table B Col F,
8835/1,Plexiform fibrohistiocytic tumor,Borderline,Specific Sites,See Topo Table B Col F,
8835/3,Malignant plexiform fibrohistiocytic tumor,Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8836/1,Angiomatoid fibrous histiocytoma,Borderline,Specific Sites,See Topo Table B Col F,
8836/3,Malignant angiomatoid fibrous histiocytoma,Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8840/3,Myxosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8841/1,"Angiomyxoma (C49_) (ICD-O-3.2 update, see code 8841/0)",Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8841/3,"Angiomyxoma, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8842/3,"Ossifying fibromyxoid tumor, malignant",Malignant,Specific Sites,See Topo Table B Col B,
8850/1,Atypical lipomatous tumor (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8850/3,"Liposarcoma, NOS (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8851/1,Lipofibromatosis (ICD-O-3.2 update) (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",New code 2021+
8851/3,"Liposarcoma, well differentiated (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8852/3,Myxoid liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8853/3,Round cell liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8854/3,Pleomorphic liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8855/3,Mixed liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8857/3,Fibroblastic liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8858/3,Dedifferentiated liposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8859/3,Myxoid pleomorphic liposarcoma (C49) (2022 update),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",New code 2022+
8860/1,"Angiomyolipoma, epithelioid (C49)",Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8860/3,Angiomyoliposarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8890/1,"Leiomyomastosis, NOS (C54_)",Borderline,"C549, All Other Sites","D39.0, See Topo Table B Col F",
8890/3,"Leiomyosarcoma, NOS (C54_)",Malignant,"C549, All Other Sites","C54.9, See Topo Table B Col B",
8891/3,Epithelioid leiomyosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8893/3,"Bizarre leiomyoma, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8894/3,Angiomyosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8895/3,Myosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8896/3,Myxoid leiomyosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8897/1,Smooth muscle tumor of uncertain malignant potential (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8897/3,Malignant tumor of smooth muscle (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8898/1,Metastasizing leiomyoma (C49_),Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",
8900/3,"Rhabdomyosarcoma, NOS (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8901/3,"Pleomorphic rhabdomyosarcoma, adult type (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8902/3,Mixed type rhabdomyosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8910/3,"Embryonal rhabdomyosarcoma, NOS (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8912/3,Spindle cell rhabdomyosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8920/3,Alveolar rhabdomyosarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8921/3,Ectomesenchymoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
8930/3,"Endometrial stromal sarcoma, NOS (C541)",Malignant,"C541, All Other Sites","C54.1, See Topo Table B Col B",
8931/3,"Endometrial stroma sarcoma, low grade (C541)",Malignant,"C541, All Other Sites","C54.1, See Topo Table B Col B",
8933/3,Adenosarcoma,Malignant,Specific Sites,See Topo Table B Col B,
8934/3,Carcinofibroma,Malignant,Specific Sites,See Topo Table B Col B,
8935/1,"Stromal tumor, NOS (C541)",Borderline,"C541, All Other Sites","D39.0, See Topo Table B Col F",
8935/3,"Stromal sarcoma, NOS (C541)",Malignant,"C541, All Other Sites","C54.1, See Topo Table B Col B",
8936/1,"Gastrointestinal stromal tumor, NOS  (ICD-O-3.2 update, see code 8936/3)",Borderline,Specific Sites,See Topo Table B Col F,
8936/2,"Gastrointestinal stromal tumor, NOS, in situ (ICD-O-3.2 update, see code 8936/3)",In-Situ,Specific Sites,See Topo Table B Col D,
8936/3,Gastrointestinal stromal sarcoma,Malignant,Specific Sites,See Topo Table B Col B,
8940/3,"Mixed tumor, malignant, NOS (C07_, C08_)",Malignant,"C079, C089, All Other Sites","C07, C08.9, See Topo Table B Col B",
8941/2,"Carcinoma in situ in pleomorphic adenoma (C07_, C08_)",In-Situ,"C079, C089, All Other Sites","D00.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8941/3,"Carcinoma ex pleomorphic adenoma (C07_, C08_)",Malignant,"C079, C089, All Other Sites","C07, C08.9, See Topo Table B Col B",
8950/3,Mullerian mixed tumor (C54_),Malignant,"C549, All Other Sites","C54.9, See Topo Table B Col B",
